,JOB_ID,ISCO,JOB_CONTENT,LOWEST_DISTANCE,BEST_ACTIVITY_MATCH,BEST_ACTIVITY_ID,TOP_ACTIVITY_MATCHES,TOP ACTIVITY_IDS,BEST_ACTIVITY_MATCH_3SENT,BEST_ACTIVITY_ID_3SENT
10,12332746,21420," Civil Engineer ETHFH Civil engineering as project manager Department Manager Representative We are a renowned and successful engineer and planning office based in Bern  We realize sophisticated construction projects in civil engineering in infrastructure construction in constructive engineering construction and landscape architecture  To expand our team we are looking for immediate or by appointment  Their tasks take over the project management of interesting and complex civil engineering projects and implement them with an experienced and motivated team  As a project manager, they maintain direct contacts to builders and develop the flair for the acquisition of new mandates  Her profiles are a powerful and flexible personality with a college or university degree as well as a few years of practical experience  They are ready to take responsibility are team-capable think creative and maintain a good communication style  They have experience in the processing of civil engineering projects  Their prospects await you an interesting and varied area of ​​responsibility which can be expanded by their abilities  You will be fully introduced into your activity the opportunity to train and can expect a fair working conditions and remuneration  Intertributing their meaningful application documents to Kurt Hefti  Telephone 031 370 92 11 or 076 330 59 33 Emailk",,Manage engineering or construction activities.,4.A.4.b.1.G09,,,Manage engineering or construction activities.,4.A.4.b.1.G09
11,12941506,62100,Forst Aletschforstartin Efzfieschertal vs de Languages DE Number of apprentices 1 Swissdoc number 0  0 updated11,,Document operational instructions for green equipment or processes.,4.A.3.b.6.G10,,,Collect data about green practices or programs.,4.A.1.a.1.G03
12,12774223,21420;31120,To strengthen our team Rural Engineering Civil Engineering We are looking for 1 civil engineer HES EPF specialized in the fields of road infrastructure and watercourse management main responsibilities project manager on road infrastructure mandates design dimensioning project study and management Work collaboration with the various interested parties Profile Wanted Civil Engineer HESEPF or equivalent profile with ideally 5 years experience experience or interest in the following areas Road infrastructure Underground networks Watercourse Planning Plans Equipment guidelines Knowledge of software Trades Messerli AutoCAD Covadis Knowledge of Swiss standards Ability to work in a team or autonomously Sense of responsibilities and dialogue Our offers a pleasant and modern framework with a team of about twenty projects of projects interested NTS and various a salary adapted to the profile of the skills sought for flexibility in work schedules and other benefits a stable place with continuing training opportunities Date of commitment immediately or to agree sending your application file by mail or by mail Mail Geo2Rives its road from the village 16 1908 Riddes ,,Determine design or equipment specifications for green projects.,4.A.2.b.1.G10,,,Determine design or equipment specifications for green projects.,4.A.2.b.1.G10
13,12933799,21420,"As an internationally active innovative technology company, we offer individual solutions especially in the environment of the substrate For our area technology in Moossedorf we are looking for a young and competent civil engineer MW to strengthen our team we are looking for a younger ambitious civil engineer As a project manager designer, they are responsible for the design and construction of steel structures for conveyor systems For this you create the necessary calculations and accompany internal or external designers in execution They have a completed studies as a civil engineer In the fields of plant construction technology, you have experience or are ready to acquire this knowledge CAD and good PC user skills complete your profile We offer you a versatile and varied task in a varied environment of contemporary employment conditions and good social benefits",," Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity.",29,,,Determine design or equipment specifications for green projects.,4.A.2.b.1.G10
14,12742302,21620,Parcs et Jardins Lafer Sagärternerin Garden and Landscaping EFZGrolley FR Languages FR Number of Courses 1 Swissdoc Number 0  9 Updated21,,Complete green activity documentation.,4.A.3.b.6.G09,,,Operate refuse collection equipment.,4.A.3.a.4.G01
15,12742304,21650,Pillonelginer Sagematics EfzestavayerLelac FR Languages FR Number of Courses 1 SwissDoc number 0  0 updated21,,Collect data about green practices or programs.,4.A.1.a.1.G03,,,Collect data about green practices or programs.,4.A.1.a.1.G03
16,12763960,24210,"Trainer Quality Assurance World Cup 100 JobsNumber 160007QX Description Internship Quality Assurance WM 100Good Food Good Lifeestlé Suisse S  Konolfingen Switzerland Terminated Employment by immediate Functional Fabrication Operation The Nestlé we produce in Konolfingen Switzerland from the raw material milk probiotic child food and health products  We offer around 600 employees an attractive and dynamic work environment including contacts and close cooperation with other international Nestlé groups  To strengthen our team in the Quality Assurance department, we are looking for a dedicated internship by immediately or by appointment for 9 to 12 months which our team in compliance is supported in coping with daily tasks  Main tasks Support in the field of quality assurance raw and packing material management Creating export certificates using audits Collection of raw materials and contaminant testing plans Education and work experience Completed assessment year or Bachelor for food technology FH or university or similar education First practical work experience in the food industry is beneficial very good MS Office knowledge of the English language Native language German Good knowledge of the English language SAP Basic knowledge Self-employed and structured way of working The Nestlégroup is the world's leading nutritional health and wellness company with more than 335,000 employees worldwide and 468 factories in more than 86 countries  More about us and other reasons to join us Learn on WWW  Do not feel hesitate to hesitate and send your complete application documents motivational letter Curriculum voices Diplomas etc  per email or by post Annestlé Suisse S  Factory Konolfingen Human Resources Nestléstrasse 1 3510 KonolfingenMail Hr  COM Tel  41 31 790 72 97 Primary Site SwitzerlandBreanconolfingen Activity Human Resources Organization Société prodoits Nestlé Eccession of employment Full-time job advertisement 14  2016 141109",,"Encouraging and building mutual trust, respect, and cooperation among team members.",206,,,Evaluate materials to assess quality or ensure compliance with standards.,4.A.2.a.3.G01
17,12778488,24210,Reference of the Haute Horlogerie JaegerleCoultre is distinguished by its secular knowfy that gave birth to recognized icons around the world Reverso Duometer Master Control Gyrotourbillon Pendulum Atmos   each of our creations is a watchman watch where aesthetic performance mingle andemotion Every day since 1833 our employees contribute to feeding the excellence and innovation that characterize JaegerleCoultre Come discover within our manufacture the art of the mastery of time and contribute to the history of the big house,,Determine design or equipment specifications for green projects.,4.A.2.b.1.G10,,,Evaluate the functionality of alternative energy production facilities.,4.A.2.a.4.G01
18,12723027,21420;21610,"Civil EngineeringArchitect For the area of ​​construction methodology DEFR WM Losinger Marazzi A company recognized on its market wants to position itself as a leader in the field of sustainable construction  The customer is valued by the company for his know-how its reliability and competitiveness  As an ambitious actor, the future trends recognize quickly and develops innovative solutions  We want our employees proud to belong to our company  Your tasks in collaboration with the team's teams Create the construction site plan in the preparation phase and plan the different construction phases and thus ensure the smooth running of the construction site  In addition to the raw design magnitude, you deserve the raw construction clock plans to plan the team's use the levers the material needs and the entire construction site logistics  Solution-oriented and the safety standards accordingly advise the construction team teams on site on the construction site during the shell phase  Regularly, they are consulted in the preliminary project phase and are responsible for the project that the project is technically and logistically executable  They advise the commercial teams in questions of scheduling and all logistical questions  Your profile in your role as a civil engineer FHETH with several years of construction site experience, you also have good car skills and ideally already worked with MS Project  They are used to dealing with people to close new contacts and they know their suggestions clearly structured and compelled  Highly motivated you work both very independently as well as in the team  French knowledge would be advantageous  Our offer We offer you the opportunity to enter an international group a leader in its area of ​​efficient working methods and a performance-oriented work environment  With us you expect a management which you accompanied on the one hand and, on the other hand, promotes  Structured further education opportunities as well as a cross-departmental competence team are available at any time  Contact We look forward to your meaningful application either online www  CH AN LOSINGER MARAZZI AG Human Resources Ref  DRO_DT_MÉTHODES_SA Ms  Dorothee Roessinger Wankdorfall 5 3014 Bern Turkey application",,"Inspect facilities or workplaces to ensure health, safety, or environmental standards are met.",4.A.1.b.2.G02,,,"Developing specific goals and plans to prioritize, organize, and accomplish your work.",117
19,12723029,21420;21610,"Civil EngineeringArchitect For the area of ​​construction methodology DEFR WM Losinger Marazzi A company recognized on its market wants to position itself as a leader in the field of sustainable construction  The customer is valued by the company for his know-how its reliability and competitiveness  As an ambitious actor, the future trends recognize quickly and develops innovative solutions  We want our employees proud to belong to our company  Your tasks in collaboration with the team's teams Create the construction site plan in the preparation phase and plan the different construction phases and thus ensure the smooth running of the construction site  In addition to the raw design magnitude, you deserve the raw construction clock plans to plan the team's use the levers the material needs and the entire construction site logistics  Solution-oriented and the safety standards accordingly advise the construction team teams on site on the construction site during the shell phase  Regularly, they are consulted in the preliminary project phase and are responsible for the project that the project is technically and logistically executable  They advise the commercial teams in questions of scheduling and all logistical questions  Your profile in your role as a civil engineer FHETH with several years of construction site experience, you also have good car skills and ideally already worked with MS Project  They are used to dealing with people to close new contacts and they know their suggestions clearly structured and compelled  Highly motivated you work both very independently as well as in the team  French knowledge would be advantageous  Our offer We offer you the opportunity to enter an international group a leader in its area of ​​efficient working methods and a performance-oriented work environment  With us you expect a management which you accompanied on the one hand and, on the other hand, promotes  Structured further education opportunities as well as a cross-departmental competence team are available at any time  Contact We look forward to your meaningful application either online www  CH AN LOSINGER MARAZZI AG Human Resources Ref  DRO_DT_MÉTHODES_SA Ms  Dorothee Roessinger Wankdorfall 5 3014 Bern Retourrevoyer Votre Cvimprimer",,"Inspect facilities or workplaces to ensure health, safety, or environmental standards are met.",4.A.1.b.2.G02,,,"Developing specific goals and plans to prioritize, organize, and accomplish your work.",117
20,12817635,21420;21650;31120,"Civil EngineerTechnician Office of Civil Engineers Specialized in Geotechnics and Special Works Renowned in Switzerland Romandely Look for a post to 100 one Mission You fly and create geotechnical studies to civil engineers and geotechnical execution monitoring You pilot and create tendering studies and the realization of geostructural projects supporting and earthmoving Your MSC level profile in civil engineering engineering or equivalent with min 5 years of experience in the field Spirit of initiative and teamwork We offer you a dynamic company a dynamic and reactive company of various and motivating projects Date of the commitment will agree As of January 1, 2017CE POSITION You are interested in sending your application to Cerenville Geotechnics its Ch  ChampsCourbs 17 1024 Ecublens DCGDECERENVILLE",,Manage engineering or construction activities.,4.A.4.b.1.G09,,,"Encouraging and building mutual trust, respect, and cooperation among team members.",206
21,12817677,24210,"Description For the expansion of our team, we are looking for three new employees for Monday Friday in the weekly change by immediately or by appointment  They ensure product quality in production Safe lead production controls by granting line shares evaluating locked goods analyze measurement results and create statistics  They have a technical basic training have already developed in quality assurance q examiners Qtechniker and bring for at least two years of practical experience in the quality test advantage from a production plant in the food sector  They are used to purposefully and skilfully enforced the quality specifications are analytically flexible and making a decision-making  As a representative of quality assurance, they participate in the daily discussions and are used to introducing the Qstatistics  They speak and write fluently German and are used to dealing with the EDP MsOffice ERP Caq  We offer you a varied interesting and responsible activity in a unique dynamic production company  If we have aroused your interest then you will be part of our success story for technical information please contact Mr  Roger Hofmeier Head of Quality Assurance Tel  031 818 31 42  Please send your written application to Alupak AG Human Resources Amanmattstrasse 45 3123 Belp emailpatricia",,Evaluate materials to assess quality or ensure compliance with standards.,4.A.2.a.3.G01,,,Evaluate materials to assess quality or ensure compliance with standards.,4.A.2.a.3.G01
22,12720277,61300,Places LiBres à Consules Surrel's URL CRIDESSOUSWARTINDINDINDS VSHO ROHOHLE NOW 7 LEART DOWN 3  0 Updally05,,Evaluate sites for potential green installations.,4.A.2.a.1.G02,,,Obtain permits.,4.A.4.c.1.G01
23,12798225,21650,Geodranse Sagematics EFZMARTIGNY vs FR Languages FR Number of apprentices 1 Swissdoc number 0  0 updated31,,Select materials for use in green applications or production.,4.A.2.b.1.G08,,,Collect data about green practices or programs.,4.A.1.a.1.G03
24,12270885,21420,Civil Engineer Specialist in HF Metal Carpentry Your Tasks Participation in Design Calculations and Conducting Important Structures  You are able to support the design and modeling of complex structures as well as the definition of assemblies and construction details to provide our customers with the most relevant answers  In-in-contact with the project managers and your colleagues externally with the architect and businesses you follow your project from the early stages until completion and ensure the monitoring of works during execution  Your engineering profile in Civil Engineering EPF HES or equivalent 510 years of experiences confirmed in the study The calculation and the realization of metal structures Mastery of French German knowledge of English dynamic versatile flexible and autonomous skills to work in a team  We offer compensation at the height of our requirements  The opportunity to take up an exciting challenge within a dynamic team  To apply we ask you to send us your cover letter and your curriculum vitae at JobsPampic,,Manage engineering or construction activities.,4.A.4.b.1.G09,,,Manage engineering or construction activities.,4.A.4.b.1.G09
25,12270886,21420,Civil Engineering Engineer in the fields Transport Infrastructures and Special Works HF Your tasks Participation in the design to the calculations and the realization of important structures  You are able to support the calculation and monitoring design missions of structures or comprehensive works to provide our customers with the most relevant answers  In-in-house contact managers and your colleagues engineers bring your specific knowledge in the special work of the special foundations of the excavations  On civil engineering infrastructure projects and underground work you participate in the different phases of the project ensure the design and dimensioning calculations part to ensure the security of the work  You follow your project as early as the first phases until its completion and ensure the monitoring of works during execution  Your Engineering Profile in Civil Engineering EPF HES or equivalent 25 years of experiences confirmed in the study The calculation and design and the realization of transport infrastructures Etou of special work Mastery of French Knowledge of German Etou of versatile dynamic English flexible and autonomous team working abilities  We offer compensation at the height of our requirements  The opportunity to take up an exciting challenge within a dynamic team  To apply we ask you to send us your cover letter and your curriculum vitae at JobsPampic,,Manage engineering or construction activities.,4.A.4.b.1.G09,,,"Developing specific goals and plans to prioritize, organize, and accomplish your work.",117
26,12919467,21650,Teaching agencies as a geomatic description Genomatics are concerned with the acquisition tracking and managing area-related information geodata geoinformation by means of surveying and computer science  Requirements Requirements and Good Services in Mathematics Geometry Algebra and Computer Science Durations and Concentration Exact Working Technical Understanding Spatial Impact Administration at work in the office and outdoor Possible priorities in the underground engineers agile survey Geoinformatiknext Free apprenticeship1  August 2019 Taster teaching desired Application applications Send your written application documents with Curriculum Vitae Wertage Copies and Copy Multicheck Registration Multicheck WWW  Org by mail on Grunder Ingenieure AG Mr  Martin Baumeler Bernstrasse 19 3400 Burgdorf  Contact person at questioner Martin Baumeler Department Manager Official Surveying 034 460 10 10  We look forward to your dossier Further information WWW  Vocational training geomatics,,Collect geographic information systems (GIS) data.,4.A.1.a.1.G01,,,Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.,226
27,12919468,21650,"Taster teaching as a geomatics GeneralStragne torsets are possible at the Grounder Ingenieure AG at any time Whether only to explore for the profession or already to acquire deeper knowledge for an overall apprenticeship Our taster learners process all the same program so as to make a fair apprentice selection Outline Schnuppertlehredie Taster teaching at the Grounder Ingenieure AG is divided into two working days each one day in the office and a day on the field At the end of the second day, a feedback conversation with the training officer takes place for the location determination Interested Bist If you are interested in completing a taster teaching with us then contact us by phone at Mr  Martin Baumeler Department Manager Official Surveying 034 460 10 10  We look forward to seeing you More InformationWWW Vocational training geomatics",,Keeping up-to-date technically and applying new knowledge to your job.,106,,,Update professional knowledge.,4.A.2.b.3.G01
28,12877837,21650,BK Geoservice Aggematics Efzschmitten FR Languages DE Number Teaching Joints 1 SwissDoc number 0  0 updated27,,Negotiate contracts.,4.A.4.a.7.G01,,," Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.",207
29,12890117,24210,"Employee Warranty Quality Bern WM Losinger Marazzi A company recognized on its market wants to position itself as a leader in the field of sustainable construction  The customer is valued by the company for his know-how its reliability and competitiveness  As an ambitious actor, the future trends recognize quickly and develops innovative solutions  We want our employees proud to belong to our company  We are looking for an employee warranty WM by default or by appointment of the warranty department of demanding projects in Bern  Your tasks Management of a real estate portfolio in the warranty phase contact person of the external customers Insurance builders tenants and legal representations Support for internal construction and project managers during the execution phase Representation on site during the acceptance and warranty phase Creating standard proposals for the execution phases to avoid future damage  Co-responsible for the preservation of Losinger Marazzi's reputation as a total and general contractor Your profile You have in-depth technical expertise and advantageous a theoretical or further education in the technical field of Bl TS FH  Ideally, they bring 1015 years of experience as a construction and project manager in large projects  For this point, a good communication capability in combination with high resilience is also in demand  They go on to her opposite and show a fingertip feel  French skills advantageous  In addition, they are familiar with the local conditions and ideally know the Gutuumfeld  Our offer We offer you the opportunity to work on extraordinary projects in the long term  With us you expect a management which you accompanied on the one hand and, on the other hand, promotes  Structured further education opportunities as well as a cross-departmental competence team are available at any time  Contact We are looking forward to your online advertising or your application by mail to Losinger Marazzi AG Directorate Human Resources Ref  PVP_Process Warranty Quality BE_10 2016 Wankdorfallee 5 3014 Bern Turkey application",,"Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics.",217,,,Develop environmental sustainability plans or projects. ,87
30,12890118,24210,"Employee Warranty Quality Bern WM Losinger Marazzi A company recognized on its market wants to position itself as a leader in the field of sustainable construction  The customer is valued by the company for his know-how its reliability and competitiveness  As an ambitious actor, the future trends recognize quickly and develops innovative solutions  We want our employees proud to belong to our company  We are looking for an employee warranty WM by default or by appointment of the warranty department of demanding projects in Bern  Your tasks Management of a real estate portfolio in the warranty phase contact person of the external customers Insurance builders tenants and legal representations Support for internal construction and project managers during the execution phase Representation on site during the acceptance and warranty phase Creating standard proposals for the execution phases to avoid future damage  Co-responsible for the preservation of Losinger Marazzi's reputation as a total and general contractor Your profile You have in-depth technical expertise and advantageous a theoretical or further education in the technical field of Bl TS FH  Ideally, they bring 1015 years of experience as a construction and project manager in large projects  For this point, a good communication capability in combination with high resilience is also in demand  They go on to her opposite and show a fingertip feel  French skills advantageous  In addition, they are familiar with the local conditions and ideally know the Gutuumfeld  Our offer We offer you the opportunity to work on extraordinary projects in the long term  With us you expect a management which you accompanied on the one hand and, on the other hand, promotes  Structured further education opportunities as well as a cross-departmental competence team are available at any time  Contact We look forward to your online advertising or your application by mail to Losinger Marazzi AG Directorate Human Resources Ref  PVP_Process Warranty Quality BE_10 2016 Wankdorfallee 5 3014 Bern Retourrevoyer Votre Cvimprimer",,"Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics.",217,,,Develop environmental sustainability plans or projects. ,87
31,7073681,21620,For the 2015 season our Head Greenkeeper looking for seasonal gardeners young peasants or young gardeners ready to work early in the morning as well as weekends Applications are to be addressed to Diese EmailAdss Ist Vor Spambots Geschützt Zur Anzeige Muss JavaScript eingeschaltet breast,,Design nanotechnology applications.,4.A.2.b.2.G02,,,Prepare work requests or proposals.,4.A.3.b.6.G06
32,6222228,21620,Arcalpin Planning in the Arcalpin Mountain Region works in different areas of land use planning in mountain region for more than 10 years  To strengthen our team we are looking for a landmark that works as a project leader in the areas of local regional local development etc  and contributes to studies in relation to the economic and tourist development of the Alpine Arc  You are a creative person and have experience in the above-mentioned areas min  35 years  You like to assume responsibilities you work autonomously and have ease of contact while integrating naturally into a team  You communicate with ease and master the written and graphic speaking in French  We offer diversified activities as well as very good working conditions and remuneration  Workplace Sion Occupancy rate 80 100 Entry into service immediately If your profile matches expectations and you are interested you can send your application file by post or email  For further information please contact M  Arcralpin Postal Case 1950 Sion 2 ,,Write reports to communicate environmental information.,4.A.3.b.6.G01,,,Write reports to communicate environmental information.,4.A.3.b.6.G01
