CATEGORY;SKILL_CONTENT;ORIGINAL_ID;SKILL_ID
Leadership ; Job requires a willingness to lead, take charge, and offer opinions and direction.;363;49
Persistence ; Job requires persistence in the face of obstacles.;364;50
Self Control ;Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.;365;51
Social Orientation ;Job requires preferring to work with others rather than alone, and being personally connected with others on the job.;366;52
Stress Tolerance ;Job requires accepting criticism and dealing calmly and effectively with high stress situations.;367;53
Administration and management;Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.;369;54
Biology;Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.;370;55
Building and Construction;Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.;371;56
Chemistry;Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.;372;57
Communications and Media;Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.;373;58
Computers and Electronics; Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.;374;59
Economics and Accounting;Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.;375;60
Engineering and Technology;Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.;376;61
"English Language
Langue française";Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.;377;62
Food Production;Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques.;378;63
Foreign Language;Knowledge of the structure and content of a foreign (non-English) language including the meaning and spelling of words, rules of composition and grammar, and pronunciation.;379;64
Geography;Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.;380;65
Law and Government;Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.;381;66
Mathematics;Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.;382;67
Mechanical;Knowledge of machines and tools, including their designs, uses, repair, and maintenance.;383;68
Physics;Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub- atomic structures and processes.;384;69
Production and Processing;Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.;385;70
Public Safety and Security;Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.;386;71
Sales and Marketing;Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.;387;72
Sociology and Anthropology;Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures and their history and origins.;388;73
Transportation;Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.;389;74
