ACTIVITY_CONTENT;ACTIVITY_ID
Adjust logistics schedules to improve efficiency or decrease environmental impact.;160
Schedule activities at alternative energy production facilities.;161
Dispose of waste or debris.;162
Remove excess materials from finished construction projects.;163
Using hands and arms in handling, installing, positioning, and moving materials, and manipulating things.;164
Collect environmental or biological samples.;165
Perform general labor on green projects.;166
Install heating, ventilation and air conditioning (HVAC) systems or components.;167
Assemble metal parts or components.;168
Install insulation or weather stripping.;169
Install testing or monitoring equipment.;170
Assemble green transportation technologies.;171
Clean materials in preparation for recycling.;172
Apply protective coatings.;173
Assemble electrical or electronic components for green technologies.;174
Process feedstock for biological production activities.;175
Sort recyclable materials.;176
Install alternative energy systems or components.;177
Clean work areas.;178
Coordinate movement of hazardous waste.;179
Remove contaminants, hazardous materials or other potentially dangerous substances.;180
Install plumbing or piping systems or components.;181
Using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles).;182
Operate recycling equipment.;183
Operate green energy production equipment.;184
Operate cranes, hoists or forklifts to move materials.;185
Operate alternative energy production equipment or components.;186
Operate recycling processing equipment.;187
Operate robotic or automated equipment.;188
Operate pollution capture equipment.;189
 Running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or water craft.;190
Operate refuse collection equipment.;191
Operate trucks or other heavy equipment.;192
 Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.;193
Maintain databases of green information.;194
Providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used.;195
Prepare diagrams or drawings for green projects.;196
Develop specifications for green materials, equipment or systems.;197
Servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles.;198
Maintain green energy production plant equipment.;199
Repair green energy equipment or systems.;200
Repair alternative energy generation equipment.;201
Maintain operational equipment used in green activities.;202
Service vehicles equipped with green technology.;203
Servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles.;204
Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form.;205
Prepare research or technical reports on environmental issues.;206
Record information about environmental conditions.;207
Maintain operational records for green energy processes or other environmentally-sustainable activities.;208
Record operational or environmental data.;209
Write reports to communicate environmental information.;210
Prepare grant applications or funding proposals for green projects.;211
Document test results.;212
Prepare environmental reports or documentation.;213
Record operational data for green facilities or activities.;214
Prepare work requests or proposals.;215
Prepare research reports on green projects, products or technologies.;216
Document details of green products or operations.;217
Complete green activity documentation.;218
Document operational instructions for green equipment or processes.;219
What interactions with other persons or supervisory activities occur while performing this job?;220
Translating or explaining what information means and how it can be used.;221
Inform the public about policies, services or procedures.;222
 Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.;223
Communicate with the public on environmental issues.;224
Communicate green energy production information.;225
Communicate results of environmental research.;226
Communicate with government agencies.;227
Communicate operating information to other personnel.;228
 Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail.;229
Provide customers with financial information.;230
Consult with other professionals on green issues.;231
Provide green product or service information to customers.;232
 Developing constructive and cooperative working relationships with others, and maintaining them over time.;233
 Providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients.;234
 Convincing others to buy merchandise/goods or to otherwise change their minds or actions.;235
Promote environmental sustainability or conservation initiatives.;236
Create marketing or informational materials.;237
Identify potential customers for green products or technologies.;238
Develop marketing plans.;239
Sell green products or services.;240
Promote green activities or initiatives.;241
 Handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others.;242
Negotiate contracts for environmental remediation, green energy, or renewable resources.;243
Negotiate contracts.;244
Resolve problems or disputes related to environmental or resource issues.;245
 Performing for people or dealing directly with the public. This includes serving customers in restaurants and stores, and receiving clients or guests.;246
Make presentations on green issues or projects.;247
 Getting members of a group to work together to accomplish tasks.;248
Direct transportation or logistics activities.;249
Manage green technology maintenance activities.;250
Manage environmental programs.;251
Manage installation of green energy technology.;252
Direct testing activities.;253
Manage alternative energy production.;254
Manage compliance activities.;255
Develop environmentally related training or outreach programs.;256
Manage engineering or construction activities.;257
Encouraging and building mutual trust, respect, and cooperation among team members.;258
 Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.;259
Teach safety standards or environmental compliance methods.;260
Train employees on environmental awareness, conservation, or safety topics.;261
Demonstrate solar system operation to owners.;262
Train staff.;263
Providing guidance and direction to subordinates, including setting performance standards and monitoring performance.;264
Supervise workers performing environmentally sustainable activities.;265
Prepare operational budgets for green energy or other green operations.;266
Supervise energy production employees.;267
Direct organizational operations, activities, or procedures.;268
Direct environmental development activities.;269
Manage environmental sustainability projects.;270
Direct green energy production operations.;271
Direct maintenance and repair activities in green energy production facilities.;272
Direct energy production or management activities.;273
Supervise workers on green projects.;274
What physical activities are performed, what equipment and vehicles are operated/controlled, and what complex/technical activities are accomplished as job outputs?;275
Identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills.;276
Advise others on environmental sustainability or green practices.;277
Advise others on farming or forestry operations, regulations, or equipment.;278
Advise others regarding green practices or environmental concerns. ;279
Advise others about environmental management or conservation. ;280
Advise others about land management or conservation. ;281
Advise others on management of water resources or water treatment.;282
Recommend green solutions.;283
Advise others on policies, standards, or compliance activities.;284
Provide advice related to agricultural issues.;285
Advise others on green engineering or design issues.;286
Advise others on green investments.;287
Advise others on environmental remediation or restoration procedures.;288
Provide technical guidance on green projects.;289
Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics.;290
Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.;291
Obtain permits.;292
 Recruiting, interviewing, selecting, hiring, and promoting employees in an organization.;293
 Monitoring and controlling resources and overseeing the spending of money.;294
